Real-time data - subject to revision,,
Copyright Environment Canada(2021),,
,,
Real-Time Hydrometric Data for DON RIVER EAST BRANCH NEAR THORNHILL (02HC056) [ON],,
,,
02HC056,DON RIVER EAST BRANCH NEAR THORNHILL,
Description of parameters:,,
47,Discharge (primary sensor derived),m3/s
6,Discharge (daily mean),m3/s
,,
Date (EST),Parameter ,Value (m3/s)
2020-02-11 0:00,47,0.479
2020-02-11 0:05,47,0.479
2020-02-11 0:10,47,0.479
2020-02-11 0:15,47,0.479
2020-02-11 0:20,47,0.479
2020-02-11 0:25,47,0.479
2020-02-11 0:30,47,0.479
2020-02-11 0:35,47,0.479
2020-02-11 0:40,47,0.47
2020-02-11 0:45,47,0.47
2020-02-11 0:50,47,0.47
2020-02-11 0:55,47,0.462
2020-02-11 1:00,47,0.47
2020-02-11 1:05,47,0.462
2020-02-11 1:10,47,0.462
2020-02-11 1:15,47,0.462
2020-02-11 1:20,47,0.462
2020-02-11 1:25,47,0.462
2020-02-11 1:30,47,0.462
2020-02-11 1:35,47,0.462
2020-02-11 1:40,47,0.462
2020-02-11 1:45,47,0.462
2020-02-11 1:50,47,0.462
2020-02-11 1:55,47,0.453
2020-02-11 2:00,47,0.453
2020-02-11 2:05,47,0.453
2020-02-11 2:10,47,0.462
2020-02-11 2:15,47,0.462
2020-02-11 2:20,47,0.453
2020-02-11 2:25,47,0.453
2020-02-11 2:30,47,0.462
2020-02-11 2:35,47,0.453
2020-02-11 2:40,47,0.453
2020-02-11 2:45,47,0.445
2020-02-11 2:50,47,0.453
2020-02-11 2:55,47,0.453
2020-02-11 3:00,47,0.453
2020-02-11 3:05,47,0.445
2020-02-11 3:10,47,0.445
2020-02-11 3:15,47,0.445
2020-02-11 3:20,47,0.445
2020-02-11 3:25,47,0.453
2020-02-11 3:30,47,0.445
2020-02-11 3:35,47,0.445
2020-02-11 3:40,47,0.445
2020-02-11 3:45,47,0.437
2020-02-11 3:50,47,0.445
2020-02-11 3:55,47,0.445
2020-02-11 4:00,47,0.437
2020-02-11 4:05,47,0.437
2020-02-11 4:10,47,0.437
2020-02-11 4:15,47,0.445
2020-02-11 4:20,47,0.445
2020-02-11 4:25,47,0.445
2020-02-11 4:30,47,0.445
2020-02-11 4:35,47,0.437
2020-02-11 4:40,47,0.437
2020-02-11 4:45,47,0.445
2020-02-11 4:50,47,0.437
2020-02-11 4:55,47,0.445
2020-02-11 5:00,47,0.437
2020-02-11 5:05,47,0.437
2020-02-11 5:10,47,0.437
2020-02-11 5:15,47,0.437
2020-02-11 5:20,47,0.437
2020-02-11 5:25,47,0.437
2020-02-11 5:30,47,0.437
2020-02-11 5:35,47,0.437
2020-02-11 5:40,47,0.437
2020-02-11 5:45,47,0.437
2020-02-11 5:50,47,0.437
2020-02-11 5:55,47,0.428
2020-02-11 6:00,47,0.428
2020-02-11 6:05,47,0.428
2020-02-11 6:10,47,0.428
2020-02-11 6:15,47,0.428
2020-02-11 6:20,47,0.428
2020-02-11 6:25,47,0.428
2020-02-11 6:30,47,0.428
2020-02-11 6:35,47,0.428
2020-02-11 6:40,47,0.428
2020-02-11 6:45,47,0.428
2020-02-11 6:50,47,0.428
2020-02-11 6:55,47,0.428
2020-02-11 7:00,47,0.42
2020-02-11 7:05,47,0.428
2020-02-11 7:10,47,0.42
2020-02-11 7:15,47,0.428
2020-02-11 7:20,47,0.428
2020-02-11 7:25,47,0.42
2020-02-11 7:30,47,0.428
2020-02-11 7:35,47,0.428
2020-02-11 7:40,47,0.428
2020-02-11 7:45,47,0.428
2020-02-11 7:50,47,0.42
2020-02-11 7:55,47,0.42
2020-02-11 8:00,47,0.42
2020-02-11 8:05,47,0.42
2020-02-11 8:10,47,0.42
2020-02-11 8:15,47,0.42
2020-02-11 8:20,47,0.42
2020-02-11 8:25,47,0.42
2020-02-11 8:30,47,0.42
2020-02-11 8:35,47,0.42
2020-02-11 8:40,47,0.42
2020-02-11 8:45,47,0.42
2020-02-11 8:50,47,0.42
2020-02-11 8:55,47,0.42
2020-02-11 9:00,47,0.42
2020-02-11 9:05,47,0.42
2020-02-11 9:10,47,0.42
2020-02-11 9:15,47,0.42
2020-02-11 9:20,47,0.42
2020-02-11 9:25,47,0.412
2020-02-11 9:30,47,0.412
2020-02-11 9:35,47,0.412
2020-02-11 9:40,47,0.412
2020-02-11 9:45,47,0.412
2020-02-11 9:50,47,0.412
2020-02-11 9:55,47,0.42
2020-02-11 10:00,47,0.42
2020-02-11 10:05,47,0.412
2020-02-11 10:10,47,0.412
2020-02-11 10:15,47,0.412
2020-02-11 10:20,47,0.412
2020-02-11 10:25,47,0.412
2020-02-11 10:30,47,0.412
2020-02-11 10:35,47,0.412
2020-02-11 10:40,47,0.412
2020-02-11 10:45,47,0.412
2020-02-11 10:50,47,0.412
2020-02-11 10:55,47,0.412
2020-02-11 11:00,47,0.412
2020-02-11 11:05,47,0.412
2020-02-11 11:10,47,0.412
2020-02-11 11:15,47,0.412
2020-02-11 11:20,47,0.412
2020-02-11 11:25,47,0.412
2020-02-11 11:30,47,0.412
2020-02-11 11:35,47,0.42
2020-02-11 11:40,47,0.412
2020-02-11 11:45,47,0.412
2020-02-11 11:50,47,0.412
2020-02-11 11:55,47,0.412
2020-02-11 12:00,47,0.412
2020-02-11 12:05,47,0.412
2020-02-11 12:10,47,0.412
2020-02-11 12:15,47,0.412
2020-02-11 12:20,47,0.412
2020-02-11 12:25,47,0.412
2020-02-11 12:30,47,0.412
2020-02-11 12:35,47,0.404
2020-02-11 12:40,47,0.42
2020-02-11 12:45,47,0.42
2020-02-11 12:50,47,0.412
2020-02-11 12:55,47,0.412
2020-02-11 13:00,47,0.412
2020-02-11 13:05,47,0.42
2020-02-11 13:10,47,0.42
2020-02-11 13:15,47,0.42
2020-02-11 13:20,47,0.42
2020-02-11 13:25,47,0.42
2020-02-11 13:30,47,0.42
2020-02-11 13:35,47,0.42
2020-02-11 13:40,47,0.42
2020-02-11 13:45,47,0.429
2020-02-11 13:50,47,0.429
2020-02-11 13:55,47,0.429
2020-02-11 14:00,47,0.429
2020-02-11 14:05,47,0.437
2020-02-11 14:10,47,0.437
2020-02-11 14:15,47,0.437
2020-02-11 14:20,47,0.437
2020-02-11 14:25,47,0.437
2020-02-11 14:30,47,0.437
